site_sku,product_name,proposed_source,image_url,product_page_url,confidence,notes,status
BC200J25,Enginetech Ford 289/302 Windsor Rod Bearing,Enginetech official catalog,https://enginetechcatalog.com/partimages/BC200J.jpg,https://www.enginetechcatalog.com/parts,medium,"CHECK PART TYPE: Enginetech lists BC200J as the MAIN bearing set for Ford 289/302; their ROD bearing for those engines is BB214J. '25' suffix = 0.25mm undersize. Confirm which this product actually is, then use partimages/BC200J.jpg or partimages/BB214J.jpg","attached from own Drive Enginetech folder (BC200J25.jfif), 16.08"
L817,"GM Chevy Hyd Flat Follower Lifter, EA",Enginetech official catalog,https://enginetechcatalog.com/partimages/L817.jpg,https://enginetechcatalog.com/parts/L817/valve-lifter,high,Enginetech L817 hydraulic flat tappet for SBC/BBC 283-454. Catalog image URL follows confirmed pattern,confirmed 11.08 — in scripts/fetch-web-images.mjs
L900,Lifters (Ford),Enginetech official catalog,https://enginetechcatalog.com/partimages/L900.jpg,https://enginetechcatalog.com/parts/L900/valve-lifter,high,Enginetech L900 hydraulic lifter for 1962-98 Ford/Lincoln/Mercury. Image URL verified in search results,confirmed 11.08 — in scripts/fetch-web-images.mjs
BRG-114925,Borgeson Universal Steering U-Joints,Borgeson official,https://www.borgeson.com/images/product/D/114925.jpg,https://www.borgeson.com/Stainless-3-4DD-X-11-16-36.html,high,"Borgeson 114925 stainless u-joint, 3/4in-DD x 11/16in-36 spline. Alt image: https://static.summitracing.com/global/images/prod/xlarge/brg-114925_xl.jpg",confirmed 11.08 — in scripts/fetch-web-images.mjs
BRG-014949,Borgeson Universal Steering U-Joints,Borgeson official (pattern),https://www.borgeson.com/images/product/D/014949.jpg,https://www.borgeson.com/,medium,URL follows Borgeson image pattern but unverified; alt: https://static.summitracing.com/global/images/prod/xlarge/brg-014949_xl.jpg. Confirm joint spec on borgeson.com part 014949,confirmed 11.08 — in scripts/fetch-web-images.mjs
NO.94,Prosport Universal Fuel Tank Float,Prosport Gauges official,https://prosportgauges.com/cdn/shop/products/fuellevel_1024x1024_2x_45b95598-fa82-4d9a-b474-5081d7fe77b1.jpg,https://prosportgauges.com/products/fuel-level-sensor-0-90-ohm,medium,Prosport universal fuel level sender with float arm (0-90 ohm). Confirm whether NO.94 is the full sender or float arm only,confirmed 11.08 — in scripts/fetch-web-images.mjs
216 SWOT-BBB,Prosport Electrical Gauge Set 52mm Black Rim & Black Face,Prosport Performance (Taiwan),,https://prosportgauges.com/,low,SKU looks like a Prosport Taiwan factory code. BEST SOURCE: the 21MB Prosport 'Performance catalog.pdf' in your Drive (Suppliers/Prosport Gauges) — the exact set photo will be in there. Web candidate (style match only): https://i.ebayimg.com/images/g/KegAAOSwpG1j777N/s-l400.png,pending spec from Drix
PSM6GCC-RW,Prosport Mechanical Gauge Set 52mm Red Face & Chrome,Prosport Performance (Taiwan),,https://prosportgauges.com/,low,Same as above — pull from the Prosport catalog PDF in Drive for the exact kit photo,pending spec from Drix
MM6GSETESPR-CG-GPS,"6 Gauge Set Classic, Red Dial with White Needle",Prosport Performance (Taiwan),,https://prosportgauges.com/,low,Suffix suggests GPS speedometer 6-gauge classic kit. Pull from Prosport catalog PDF in Drive,pending spec from Drix
WA6037B(C),"Prosport Performance Water Temperature Gauge, 60mm",Prosport Performance (Taiwan),https://machv.com/cdn/shop/products/60mm_water_temp_1024x1024.jpg,https://prosportgauges.com/,medium,"Prosport Performance Inc (Taiwan) 60mm water temp, classic style. Confirm face/bezel variant — (C) suffix likely chrome",confirmed 11.08 — in scripts/fetch-web-images.mjs
KD2020,K&N Apollo Closed Air Intake System Universal,K&N official,https://www.knfilters.com/media/images/press/RC-5052AL-2L.jpg,https://www.knfilters.com/rc-5052ab-universal-air-intake-system,medium,K&N Apollo CIS universal = RC-5052 series (AB/AL/AR/AS variants by color/side). Confirm which variant KD2020 is; K&N press images at knfilters.com/media/images/press/RC-5052xx-2L.jpg,confirmed 11.08 — in scripts/fetch-web-images.mjs
KD6078,Kyostar Magnetic Oil Drain Plug,Kyostar (Alibaba listing),https://sc04.alicdn.com/kf/H686983b036634b6abcc8d2f0cd96c72el.jpg,https://www.alibaba.com/product-detail/KYOSTAR-JDM-Parts-Magnetic-Oil-Drain_1600133559911.html,medium,Kyostar JDM magnetic drain plug. Confirm thread size variant (M12x1.25/1.5 etc.),confirmed 11.08 — in scripts/fetch-web-images.mjs
FT1502/10,Smoothie Classic Steel Wheel 15 x 10 ETO,US Wheel / Speedway style,https://content.speedwaymotors.com/ProductImages/91051510_L1600_d401ffb3-f6b0-44b5-8cd9-cf5ccf4747da.jpg,https://uswheel.com/wheel/12211/us-wheel-smoothie-series-510-extended-sizing?finishID=9&part=510-5015,medium,15x10 smoothie steel wheel. Likely US Wheel Series 510 (part 510-5015). Confirm finish: chrome vs gloss black vs raw — image shows chrome,confirmed 11.08 — in scripts/fetch-web-images.mjs
AND SHIFT-2,Quicksilver Shifter,B&M official,https://cdn11.bigcommerce.com/s-jf84aish/images/stencil/1280x1280/products/7202/41915/81683__21669.1648484824.jpg,https://www.amazon.com/Racing-Automatic-Ratchet-Shifter-Quicksilver/dp/B08GD2LZ84,high,"'Quicksilver' = B&M 81683 automatic ratchet shifter (GM TH350/TH400/700R4, Ford, Mopar 3&4-speed). Name is distinctive to B&M",confirmed 11.08 — in scripts/fetch-web-images.mjs
M192704455679,4 Steering Tie Rod Ends 1964-69 Plymouth Barracuda,Aftermarket (eBay/Amazon listing),https://m.media-amazon.com/images/I/417OjNJPvAL.jpg,https://www.amazon.com/Barracuda-1964-1969-Belvedere-1962-1969-1965-1967/dp/B0CZDXCG7W,medium,SKU is an eBay item number. Amazon 4-pc inner+outer tie rod end set for 1964-69 Barracuda / 1962-69 Belvedere matches the name exactly,confirmed 11.08 — in scripts/fetch-web-images.mjs
KNDI-002,V8 Distributor,CRS order book (in Drive uploads),,,medium,"IN-BOOK candidate: CRS DIS-8360 'Ready-to-Run Billet Distributor, Magnetic Pickup, V8' — extracted image already available (CRS_15.07.2026__DIS-8360.png). Confirm this is the distributor you sell as KNDI-002","attached (CRS DIS-8360, 11.08)"
MMR-8513P,Mastodon Steering Column,CRS order book (in Drive uploads),,,low,"CRS books have 28in/30in/32in tilt columns in chrome and black (SC-7005C-1, SC-7006C-1, SC-7007C-1, TSC-7011B-1-L...). Tell me which length/finish MMR-8513P is and I'll attach the matching extracted photo",pending spec from Drix
MMR-75073,Mastodon Ford Windsor Oil Pan,CRS order book (in Drive uploads),,,low,CRS has several SBF pans: OP6587FSC steel chrome front-sump 65-87 260-302; OP6476FP-BK finned alu 64-76. Which one is MMR-75073?,pending spec from Drix
MMR-58089,Mastodon Valve Cover Gaskets Rubber w/ Steel Shim,CRS order book (in Drive uploads),,,low,CRS 07-0205 'SB Ford steel core rubber VC gaskets' matches the construction — but confirm MMR-58089 is for SBF (name doesn't say the engine),pending spec from Drix
MMR-11214,Mastodon Valve Cover Hold Downs Minitab 1.5in 12P,none yet,,,low,CRS 07-0801 is T-bar wing nuts — visually different from minitabs. Recommend in-house photo or Rodco photo request,pending spec from Drix
SSSH0003,Edelbrock Weber 4 Bar BBL Carb,needs clarification,,,low,Name is ambiguous (Edelbrock + Weber?). Confirm the actual carb model (e.g. Edelbrock Performer 1406) and I'll fetch the official Edelbrock image,pending spec from Drix
